,ts,actual,forecast,forecast_lower,forecast_upper
0,2002-07-30,36.67638397216797,37.71988031702789,26.718895802164063,48.72086483189171
1,2002-07-31,35.96625518798828,37.88574160475173,26.905083949467695,48.86639926003576
2,2002-08-01,34.867862701416016,37.617257750404235,26.418976764390038,48.81553873641843
3,2002-08-02,34.6788215637207,37.54739308444546,26.30473857706017,48.79004759183075
4,2002-08-05,33.713253021240234,37.4909348066861,26.263022555327417,48.71884705804478
5,2002-08-06,34.68904495239258,37.02885444133547,26.022893700573153,48.03481518209779
6,2002-08-07,35.41611099243164,36.965676296163856,25.979730034103305,47.95162255822441
7,2002-08-08,36.66543197631836,36.77098218973052,25.57157481393445,47.97038956552659
8,2002-08-09,36.778076171875,36.673612855468384,25.428973683757953,47.918252027178816
9,2002-08-12,36.74734878540039,36.62803755851563,25.400735306437056,47.8553398105942
10,2002-08-13,36.813907623291016,36.68091245884102,25.57447706515019,47.78734785253185
11,2002-08-14,38.36018753051758,36.741054115873,25.654699105021308,47.82740912672469
12,2002-08-15,39.16917037963867,37.21451111086519,25.913811829573717,48.51521039215666
13,2002-08-16,40.62842559814453,36.59571947470753,25.250319771890872,47.941119177524186
14,2002-08-19,42.23616409301758,36.33958749266033,25.113608532275038,47.56556645304562
15,2002-08-20,41.61149215698242,36.038354363831445,25.035464523844983,47.04124420381791
16,2002-08-21,41.473243713378906,36.098029049043305,25.11601135381912,47.08004674426749
17,2002-08-22,41.98013687133789,35.82538492803864,24.62649477288344,47.024275083193835
18,2002-08-23,41.1660385131836,35.711128287941975,24.46831752211049,46.95393905377346
19,2002-08-26,40.66426467895508,35.77066859226022,24.542361194618707,46.99897598990174
20,2002-08-27,39.91671371459961,35.32892742834747,24.322924859655515,46.334929997039424
21,2002-08-28,38.94389343261719,35.302160422016065,24.316136738629353,46.28818410540278
22,2002-08-29,39.23060989379883,35.07581319194005,23.877144173164353,46.274482210715746
23,2002-08-30,38.5957145690918,34.77770102208585,23.53360317133868,46.02179887283302
24,2002-09-02,,34.54784837912136,23.2388167191768,45.85688003906593
25,2002-09-03,37.04433059692383,33.38952215169782,22.29981965124271,44.47922465215292
26,2002-09-04,37.75090408325195,33.58523642539631,22.513892953704058,44.65657989708856
27,2002-09-05,36.95728302001953,34.88897176339041,23.67780243747948,46.10014108930133
28,2002-09-06,37.47951889038086,35.46410014438602,24.202591471881377,46.72560881689067
29,2002-09-09,38.1451530456543,36.35468123129986,25.120679047105384,47.58868341549433
30,2002-09-10,38.70835876464844,36.26256425146268,25.252768718545664,47.27235978437969
31,2002-09-11,37.99153900146485,36.56197724128482,25.57863280317778,47.54532167939186
32,2002-09-12,36.79854202270508,36.68252593966224,25.483650564480325,47.881401314844155
33,2002-09-13,37.12112045288086,37.18928474384184,25.946733513071464,48.43183597461221
34,2002-09-16,37.028953552246094,38.17284186874207,26.95083072151479,49.394853015969346
35,2002-09-17,36.737091064453125,38.62508314476885,27.62524921769124,49.62491707184646
36,2002-09-18,35.61064147949219,39.088755701698,28.108968686687838,50.06854271670816
37,2002-09-19,33.178585052490234,39.09020881133581,27.880415298070922,50.300002324600705
38,2002-09-20,32.72802734375,39.10021547075418,27.845603534042965,50.35482740746539
39,2002-09-23,32.44642639160156,39.53128200142655,28.298645612620085,50.76391839023301
40,2002-09-24,30.592926025390625,39.447385874775726,28.446405755287216,50.448365994264236
41,2002-09-25,32.262088775634766,39.482323938936624,28.501149778939222,50.463498098934025
42,2002-09-26,31.755199432373047,39.1864201922416,27.987409279120286,50.38543110536291
43,2002-09-27,30.90523910522461,39.066325457742465,27.822048765902153,50.31060214958278
44,2002-09-30,29.855609893798828,39.27918768048242,28.044355919002868,50.51401944196198
45,2002-10-01,31.31998443603516,38.989381505708494,27.973413928809578,50.00534908260741
46,2002-10-02,30.53146743774414,38.74394660313065,27.747871842599128,49.74002136366218
47,2002-10-03,30.72091293334961,38.4991700338816,27.287448049678467,49.71089201808473
48,2002-10-04,28.98008155822754,38.30673356603184,27.05444166929144,49.55902546277224
49,2002-10-07,29.11319351196289,38.901531467634186,27.67626910135466,50.12679383391371
50,2002-10-08,29.21047592163086,38.719442701044,27.71695607284943,49.72192932923858
51,2002-10-09,28.19667625427246,39.000294242704115,28.018473414711565,49.982115070696665
52,2002-10-10,29.48185157775879,38.76807776815003,27.56987712982219,49.96627840647787
53,2002-10-11,32.72802734375,38.37124584789983,27.129048534788637,49.61344316101102
54,2002-10-14,32.47200393676758,38.038158556376054,26.810005644993822,49.266311467758285
55,2002-10-15,35.06282043457031,37.243899318234455,26.238582069012352,48.24921656745656
56,2002-10-16,33.22979736328125,36.87398013094267,25.88884018204468,47.85912007984066
57,2002-10-17,36.967506408691406,36.21293738233915,25.01599747525171,47.40987728942659
58,2002-10-18,38.017127990722656,35.1826185548334,23.941375125558267,46.42386198410853
59,2002-10-21,38.682762145996094,33.737671873484864,22.515863679763854,44.959480067205874
60,2002-10-22,38.140018463134766,32.587764709726926,21.588349807301892,43.58717961215196
61,2002-10-23,38.19636535644531,31.94480949393848,20.96525764627809,42.92436134159887
62,2002-10-24,36.91630935668945,31.43893915584837,20.241581784138567,42.63629652755817
63,2002-10-25,38.175872802734375,31.130461757495894,19.88814021238427,42.372783302607516
64,2002-10-28,39.19989013671875,31.02970156811323,19.80440469678967,42.25499843943679
65,2002-10-29,39.29206848144531,30.29169066890518,19.285219402050068,41.29816193576029
66,2002-10-30,40.28024291992188,30.270748158896158,19.281169712750792,41.26032660504153
67,2002-10-31,40.4184799194336,29.984314226922063,18.77305931641073,41.195569137433395
